Name,Aired,Broadcast,Duration,Status,Type,Premiered,Episodes,Rating,Genres,Licensors,Producers,Studios,Members,Favorites
Kiku-chan to Ookami,2008-08-13,none,00:45:00,Finished Airing,Special,none,1,PG,Adventure,none,none,Shin-Ei Animation,543,0
Cornelis,2008-01-01,none,00:04:00,Finished Airing,Movie,none,1,G,Comedy,none,none,none,492,0
Joleobban,"Dec 29, 2016",none,01:21:00,Finished Airing,Movie,none,1,R+,"Drama,Romance",none,none,Studio Dadashow,1638,1
Sugio: Mori de Koi wo Shite,"Sep 27, 2015",none,00:04:00,Finished Airing,ONA,none,3,G,Comedy,none,none,DLE,497,0
Chirico,2008-04-01,none,00:04:00,Finished Airing,Movie,none,1,PG 13,Avant Garde,none,none,none,743,0
Teo the Magic Planet Pilot,1997-01-01,none,00:09:00,Finished Airing,Special,none,1,G,"Adventure,Fantasy",none,none,none,242,0
Momotarou Densetsu,"1989-10-02,1990-10-01","mon,18:30:00",00:22:00,Finished Airing,TV,Fall 1989,51,G,"Comedy,Adventure",none,TV Tokyo,Knack Productions,664,1
Koko ni Iru,2010,none,00:02:00,Finished Airing,ONA,none,1,G,Slice of Life,none,Mad Box,"add some,None found,",832,0
Visual Prison,"2021-10-09,2021-12-25","sat,00:00:00",00:24:00,Finished Airing,TV,Fall 2021,12,PG 13,Supernatural,none,"CMI,Aniplex,ABC Animation",A-1 Pictures,38571,464
Mahoutsukai Tai! (TV),"1999-07-07,1999-10-06","wed,19:00:00",00:24:00,Finished Airing,TV,Summer 1999,13,PG 13,"Comedy,Sci-Fi,Romance,Fantasy","Media Blasters,Nozomi Entertainment,NYAV Post",Bandai Visual,"Triangle Staff,Madhouse",11201,24
Yu Bang Xiang Zheng,1984-02-01,none,00:10:00,Finished Airing,Movie,none,1,G,none,none,Shanghai Animation Film Studio,none,878,1
Hulaing Babies,"Jan 11, 2019 to Mar 29, 2019",Fridays at 22:30 (JST),00:05:00,Finished Airing,TV,Winter 2019,12,PG 13,"Comedy,Slice of Life",none,none,Fukushima Gaina,3929,2
Herlock Saga: Nibelung no Yubiwa,1999-01-25 1999-11-25,None,00:25:00,Finished Airing,OVA,None,6,R 17,Adventure Action Drama Sci-Fi,Central Park Media,Avex Entertainment 81 Produce Bandai Visual,Studio March Studio Z5,6250,4
Toho Cinemas & I Love Snoopy: The Peanuts Movie Collab Logo Eizou,"Dec 1, 2014",none,28 sec.,Finished Airing,Movie,none,1,G,Comedy,none,Toho,none,406,1
Love Live! School Idol Project 2nd Season,"2014-04-06,2014-06-29","sun,22:30:00",00:23:00,Finished Airing,TV,Spring 2014,13,PG 13,"Slice of Life,Award Winning","NIS America, Inc.","Lantis,Bushiroad,Bandai Visual",Sunrise,252422,2747
Kami no Tou,"2020-04-02,2020-06-25","thur,00:30:00",00:23:00,Finished Airing,TV,Spring 2020,13,PG 13,"Mystery,Adventure,Fantasy,Action,Drama",VIZ Media,"Crunchyroll,Sola Entertainment,Rialto Entertainment,Naver Webtoons,IRMA LA DOUCE,Sega",Telecom Animation Film,874655,6222
Wotaku ni Koi wa Muzukashii OVA,"2019-03-29,2021-10-14",none,00:23:00,Finished Airing,OVA,none,3,PG 13,Romance,none,"Fujipacific Music,Aniplex,Half H.P Studio","Lapin Track,A-1 Pictures",195185,473
Legendz: Yomigaeru Ryuuou Densetsu,"2004-04-04,2005-03-27",Unknown,00:24:00,Finished Airing,TV,Spring 2004,50,G,"Comedy,Action,Adventure,Fantasy",none,none,Gallop,3105,44
Boku no Hero Academia 4th Season,"2019-10-12,2020-04-04","sat,17:30:00",00:24:00,Finished Airing,TV,Fall 2019,25,PG 13,Action,Funimation,"Dentsu,Yomiuri Telecasting,Shueisha,Sony Music Entertainment,Movic,TOHO animation",Bones,1642135,8208
Ranma ½: Chou Musabetsu Kessen! Ranma Team vs. Densetsu no Houou,1994-08-20,none,00:31:00,Finished Airing,Movie,none,1,PG 13,"Comedy,Supernatural,Action,Adventure",VIZ Media,Fuji TV,Studio Deen,16296,7
Lemon Angel (1988),"Feb 3, 1988 to Mar 30, 1988",none,00:03:00,Finished Airing,TV,Winter 1988,9,R+,Ecchi,none,Pony Canyon,AIC,1943,1
Lupin III: Hemingway Paper no Nazo,1990-07-20,None,01:32:00,Finished Airing,Special,None,1,PG 13,Action Comedy Adventure Mystery,Discotek Media,VAP,Tokyo Movie Shinsha,6709,5
Fumetsu no Anata e Season 2,"2022-10-23,2023-03-12","sun,19:00:00",00:25:00,Finished Airing,TV,Fall 2022,20,R 17,"Drama,Supernatural,Adventure",none,"NHK,NHK Enterprises,Kodansha",Drive,247233,1444
Jakusansei Million Arthur: Forever Kakusansei Million Arthur,"Apr 19, 2017",none,00:02:00,Finished Airing,ONA,none,1,PG 13,"Fantasy,Comedy,Ecchi",none,none,none,750,1
Mayoi Neko Overrun! Specials,"2010-06-25,2010-11-26",none,00:03:00,Finished Airing,Special,none,6,R+,"Comedy,Ecchi",none,none,AIC,18823,12
Hello Kitty no Circus ga Yatte Kita,"Jul 21, 1992",none,00:27:00,Finished Airing,OVA,none,1,G,Fantasy,none,Sanrio,none,504,1
Mini Moni the TV,"Sep 8, 2003 to Sep 26, 2003",none,00:01:00,Finished Airing,TV,Summer 2003,15,G,Comedy,none,none,none,721,2
Yang Jia Jiang: Zhan Pengcheng,Not available,none,00:13:00,Finished Airing,TV,?,26,PG,Fantasy,none,none,none,45,0
Five Star Stories,1989-03-11,none,01:05:00,Finished Airing,Movie,none,1,R+,"Action,Drama,Fantasy,Sci-Fi",ADV Films,Kadokawa Shoten,Sunrise,13001,45
Ookiku Furikabutte: Natsu no Taikai-hen – Mokuhyou,2010-12-22,None,00:24:00,Finished Airing,Special,None,1,G,Sports,Nozomi Entertainment,None,A-1 Pictures,8295,3
Top wo Nerae! Gunbuster Specials,"Nov 25, 2000 to Mar 25, 2001",none,00:02:00,Finished Airing,Special,none,3,PG 13,none,none,none,Gainax,6538,0
Hellsing: Psalm of the Darkness,2001-08-03,None,00:03:00,Finished Airing,Special,None,1,R 17,Action Supernatural,"None found, add some",Pioneer LDC,Gonzo,32342,40
Minarai Diva,"Jul 14, 2014 to Sep 22, 2014",none,00:49:00,Finished Airing,TV,Summer 2014,10,G,none,none,"NOTTV,Bouncy",Yaoyorozu,1868,4
Shen Lan Qi Yu Wushuang Zhu: Tianmo Pian,"2023-01-14,2023-04-15",none,00:20:00,Finished Airing,ONA,none,15,PG 13,"Fantasy,Action",none,"iQIYI,High Energy Studio,Xuanshi Tangmen",CG Year,475,4
Battle Spirits: Brave,"2010-09-12,2011-09-11","sun,07:00:00",00:24:00,Finished Airing,TV,Fall 2010,50,PG,"Adventure,Sci-Fi",none,Nagoya Broadcasting Network,Sunrise,4132,20
Soul Eater: Late Night Show,Apr 2008 to Mar 2009,none,00:01:00,Finished Airing,Special,none,51,PG 13,"Action,Comedy,Fantasy",Funimation,"TV Tokyo,Media Factory,Aniplex,Dentsu",Bones,26879,39
Karuizawa Syndrome,"Mar 21, 1986",none,01:09:00,Finished Airing,OVA,none,1,R+,"Slice of Life,Drama,Romance,Comedy",none,"Shogakukan,Kitty Films",Kitty Film Mitaka Studio,1083,1
Odd Taxi,"2021-04-06,2021-06-29","tue,02:00:00",00:23:00,Finished Airing,TV,Spring 2021,13,PG 13,"Mystery,Award Winning",none,"TV Tokyo,Pony Canyon Enterprise,Crunchyroll,Dentsu,AT-X,Pony Canyon,Yoshimoto Kogyo","OLM,P.I.C.S.",393748,7691
Mahou Shoujo Lyrical Nanoha: The Movie 2nd As Mini Picture Drama,"Mar 22, 2013",none,00:03:00,Finished Airing,Special,none,2,PG 13,Comedy,none,Shochiku,none,1593,0
Doraemon: Doraemon Comes Back,1981-01-03,None,00:21:00,Finished Airing,Special,None,1,PG,Fantasy Sci-Fi Comedy,"None found, add some",Asatsu DK,Shin-Ei Animation,3008,5
Kimagure Orange☆Road: Shounen Jump Special,1985-11-23,none,00:24:00,Finished Airing,OVA,none,1,PG 13,"Romance,Drama",none,none,Pierrot,4384,6
Kenyuu Densetsu Yaiba,"1993-04-09,1994-04-01","fri,18:30:00",00:22:00,Finished Airing,TV,Spring 1993,52,PG 13,"Fantasy,Comedy,Action",none,"TV Tokyo,Shogakukan-Shueisha Productions",Pastel,8907,41
Xue Hai Zi: Zhengjiu Jiayuan,2010 to ?,none,00:15:00,Finished Airing,TV,?,26,PG,Fantasy,none,none,none,43,0
Watashi no Shiawase na Kekkon,"Jul 5, 2023 to ?","wed,23:30:00",00:23:00,Currently Airing,TV,Summer 2023,12,PG 13,"Fantasy,Romance",none,"Glovision,Square Enix,Toy's Factory,Bandai Namco Music Live,Miracle Bus",Kinema Citrus,89151,556
Youkai Watch!,"2019-04-05,2019-12-20","fri,18:25:00",00:24:00,Finished Airing,TV,Spring 2019,36,G,"Comedy,Supernatural",none,none,"OLM,Magic Bus",3315,3
Idol Fight Suchie-Pai 2,"Apr 20, 1996",none,00:30:00,Finished Airing,OVA,none,1,PG 13,"Action,Ecchi",Hirameki International,"Nippon Columbia,Darts",Daume,1936,0
Ginga Eiyuu Densetsu Gaiden (1999),"1999-12-24,2000-07-21",none,00:26:00,Finished Airing,OVA,none,28,R 17,"Drama,Action,Sci-Fi",Sentai Filmworks,"Wright Staff,Tokuma Shoten,Tokuma Japan",K-Factory,19552,25
Koukaku Kidoutai Arise: Ghost in the Shell - Border:4 Ghost Stands Alone,2014-09-06,none,00:59:00,Finished Airing,Movie,none,1,R 17,Sci-Fi,Funimation,"Bandai Visual,Dentsu,flying DOG,TOHO animation,Kodansha",Production I.G,40427,23
Ongaku Shoujo (TV),"2018-07-06,2018-09-21","fri,23:00:00",00:23:00,Finished Airing,TV,Summer 2018,12,PG 13,Slice of Life,none,King Records,Studio Deen,15810,30
Doraemon Movie 13: Nobita to Kumo no Oukoku,1992-03-07,none,01:40:00,Finished Airing,Movie,none,1,PG,"Adventure,Comedy",none,none,"None found,,add some",7289,5
Pingu in the City (2018),"2018-10-06,2019-03-30","sat,09:20:00",00:07:00,Finished Airing,TV,Fall 2018,26,G,"Comedy,Slice of Life",none,"Mattel Creations,NHK Enterprises,NHK",Polygon Pictures,10037,114
Yi Ren Zhi Xia Recap,2018-01-10,none,00:24:00,Finished Airing,Special,none,1,R 17,"Supernatural,Action",none,none,Haoliners Animation League,6449,6
Panda-Z: The Robonimation,"2004-04-12,2004-10-04",Unknown,00:05:00,Finished Airing,TV,Spring 2004,30,PG,"Sci-Fi,Comedy,Action",Bandai Entertainment,"Bee Media,Dynamic Planning","Synergy Japan,Bee Train",2369,3
Naikaku Kenryoku Hanzai Kyousei Torishimarikan Zaizen Joutarou,"Jul 6, 2006 to Sep 21, 2006","thur,02:40:00",00:24:00,Finished Airing,TV,Summer 2006,11,R 17,"Action,Drama",none,"Universal Pictures Japan,TV Asahi",Trans Arts,1738,2
Tensei shitara Slime Datta Ken OVA,"2019-07-09,2020-11-27",none,00:23:00,Finished Airing,OVA,none,5,PG 13,"Comedy,Action,Adventure,Fantasy",none,none,8bit,217219,499
Fanren Xiu Xian Chuan: Yan Jia Bao Dazhan,"2021-01-31,2021-02-14",none,00:18:00,Finished Airing,ONA,none,4,PG 13,"Fantasy,Action,Adventure",none,bilibili,"Original Force,Wonder Cat Animation",2229,9
Shouwa Ahozoushi Akanuke Ichiban!,"1985-10-07,1986-03-24",Unknown,00:25:00,Finished Airing,TV,Fall 1985,22,PG 13,Comedy,none,TV Asahi,Tatsunoko Production,1328,3
Xie Wang Zhui Qi: Yishi Qingcheng,"2020-12-04,2021-02-19",none,00:23:00,Finished Airing,ONA,none,12,PG 13,"Comedy,Romance,Fantasy,Action,Drama",none,"High Energy Studio,iQIYI","Big Firebird Culture,KJJ Animation",8342,44
Jinzou Ningen Kikaider The Animation,2000-10-16 2001-01-08,7 23:25:00,00:23:00,Finished Airing,TV,Fall 2000,13,PG 13,Action Sci-Fi Drama,Bandai Entertainment,SME Visual Works Aniplex,Studio OX Radix,9739,70
Masuda Kousuke Gekijou Gag Manga Biyori +,"2010-01-05,2010-06-29","tue,02:14:00",00:05:00,Finished Airing,TV,Winter 2010,12,PG 13,Comedy,none,"Bandai Visual,Shueisha,Kids Station,Yomiuri Telecasting",Studio Deen,2458,1
Romantic Killer,2022-10-27,none,00:26:00,Finished Airing,ONA,none,12,PG 13,"Supernatural,Comedy,Romance",none,"Netflix,Shueisha",domerica,161052,2222
Mao Zhi Ming Specials,"2022-02-10,2022-03-10",none,00:05:00,Finished Airing,ONA,none,5,G,Comedy,none,none,"add some,None found,",462,2
Boku no Hero Academia: Hero Note,2017-03-25,none,00:23:00,Finished Airing,Special,none,1,PG 13,Action,Funimation,none,Bones,180531,606
Dragon Ball Kai (2014),"2014-04-06,2015-06-28","sun,09:00:00",00:23:00,Finished Airing,TV,Spring 2014,61,PG 13,"Comedy,Action,Fantasy,Adventure",Funimation,none,Toei Animation,181718,753
Shining Star,"2017-10-16,2018-12-03",Unknown,00:21:00,Finished Airing,TV,Fall 2017,52,PG,none,none,none,Maro Studio,915,4
Inazuma Eleven: Outer Code,"2016-11-04,2017-08-19",none,00:05:00,Finished Airing,ONA,none,6,G,Sports,none,"OLM,Level-5","None found,,add some",7719,7
Chou Akuukan Bouheki Cheese Napolitan,"Dec 29, 2013",none,00:02:00,Finished Airing,ONA,none,1,PG 13,none,none,Khara,none,1444,0
Chogattai Majutsu Robot Ginguiser,"Apr 9, 1977 to Oct 22, 1977",none,00:24:00,Finished Airing,TV,Spring 1977,26,PG 13,"Adventure,Action,Sci-Fi",none,none,"Ashi Productions,Nippon Animation",1133,3
Cutey Honey F,"1997-02-15,1998-01-31","sat,19:00:00",00:23:00,Finished Airing,TV,Winter 1997,39,PG 13,"Adventure,Comedy,Romance,Action,Sci-Fi",none,"Toei Advertising,Dynamic Planning",Toei Animation,9731,28
Yuru Yuri,2011-07-05 2011-09-20,None,00:23:00,Finished Airing,TV,Summer 2011,12,PG 13,Comedy Award Winning Girls Love,"NIS America, Inc.",Pony Canyon Sotsu DAX Production Daume Jumondo PRA Studio Gram TV Tokyo,Doga Kobo,330469,4429
Shin Kidou Senki Gundam Wing: Frozen Teardrop Picture Drama - Aratanaru Tatakai,2014-01-29,none,00:16:00,Finished Airing,Special,none,1,PG 13,"Sci-Fi,Action",none,Sotsu,Sunrise,3806,3
Higashi no Eden,"2009-04-10,2009-06-19","fri,00:45:00",00:23:00,Finished Airing,TV,Spring 2009,11,R 17,"Suspense,Award Winning,Romance,Mystery,Sci-Fi",Funimation,"Dentsu,Asmik Ace,Fuji TV,Sony Music Entertainment",Production I.G,551585,4174
Ore no Imouto ga Konnani Kawaii Wake ga Nai Specials,2011-02-22 2011-05-31,None,00:28:00,Finished Airing,ONA,None,4,PG 13,Comedy Romance,Aniplex of America,AIC Aniplex,AIC Build,186819,204
Chao You Bing,"Apr 25, 2014 to Aug 20, 2014",none,00:08:00,Finished Airing,ONA,none,4,R 17,"Fantasy,Comedy",none,KJJ Animation,none,3821,5
Dr. Slump: Arale-chan Ayaya!? Penguin Mura de TV Jack,"Jul 25, 1981",none,00:46:00,Finished Airing,Special,none,1,PG 13,"Comedy,Sci-Fi",none,none,Toei Animation,904,0
Shisha no Sho,"Jul 8, 2005",none,01:09:00,Finished Airing,Movie,none,1,PG 13,"Award Winning,Drama,Supernatural",none,"Sakura Eiga-sha,Sakura Motion Picture",none,1642,3
Blend S,"2017-10-08,2017-12-24","sun,00:30:00",00:23:00,Finished Airing,TV,Fall 2017,12,PG 13,Comedy,Aniplex of America,"Kinoshita Group Holdings,Aniplex,Houbunsha,Contents Seed,Kansai Telecasting,Lawson,Drecom",A-1 Pictures,638697,2934
Dimension W: W no Tobira Online - Rose no Onayami Soudanshitsu,"Mar 25, 2016 to Aug 26, 2016",none,00:03:00,Finished Airing,Special,none,5,G,Sci-Fi,Funimation,none,Studio 3Hz,11252,9
Re:Zero kara Hajimeru Isekai Seikatsu - Memory Snow Announcement,2017-09-09,none,00:02:00,Finished Airing,ONA,none,1,PG 13,"Suspense,Comedy,Fantasy",none,none,White Fox,1482,3
Xinnian Lai La: Shenqi Wugong,2017 to ?,none,00:13:00,Finished Airing,TV,?,26,PG,Fantasy,none,none,none,35,0
Huyao Xiao Hongniang: Wei Sheng,2019-11-22 2020-01-17,None,00:18:00,Finished Airing,ONA,None,10,PG 13,Romance Comedy Supernatural Drama,"None found, add some",Tencent Penguin Pictures Tencent Animation & Comics,Haoliners Animation League Garden Culture,3031,3
Hanaukyou Maid-tai,2001-04-13 2001-06-29,None,00:14:00,Finished Airing,TV,Spring 2001,12,R+,Ecchi Comedy Romance,"None found, add some",m.o.e.,Daume,31607,42
Attack No.1: Namida no Fushichou,1971-03-17,none,01:00:00,Finished Airing,Movie,none,1,PG 13,"Drama,Sports",none,Tokyo Movie Shinsha,"add some,None found,",916,0
Sushi Police Movie,"Jul 9, 2016",none,00:45:00,Finished Airing,Movie,none,1,PG 13,"Comedy,Mystery",none,none,none,94,0
Shuffle!,"2005-07-08,2006-01-06","fri,00:30:00",00:24:00,Finished Airing,TV,Summer 2005,24,R+,"Fantasy,Drama,Comedy,Ecchi,Romance",Funimation,"Memory-Tech,Xebec,Lantis,KlockWorx,Kadokawa Shoten",asread.,273973,1469
Pokemon,"1997-04-01,2002-11-14","thur,19:00:00",00:24:00,Finished Airing,TV,Spring 1997,276,PG,"Comedy,Action,Adventure,Fantasy","VIZ Media,4Kids Entertainment","TV Tokyo,TV Tokyo Music,Studio Jack",OLM,609803,5150
Bakumatsu no Spasibo,1997-09-20,none,01:25:00,Finished Airing,Movie,none,1,PG,none,none,none,Magic Bus,1625,1
Abenobashi Mahou☆Shoutengai,"2002-04-04,2002-06-27","thur,22:00:00",00:24:00,Finished Airing,TV,Spring 2002,13,R+,"Comedy,Award Winning,Fantasy,Ecchi","ADV Films,Sentai Filmworks","Starchild Records,Dentsu,Rakuonsha,Imagica,King Records","Madhouse,Gainax",87308,334
Shoujo Nosferatu,2017,none,00:06:00,Finished Airing,Movie,none,1,G,"Horror,Avant Garde",none,Geidai Animation,"add some,None found,",684,1
"Kanojo, Okarishimasu 2nd Season: Kanokari Call","2022-10-26,2023-01-25",none,50 sec. per ep.,Finished Airing,Special,none,24,PG 13,"Comedy,Romance",none,none,TMS Entertainment,1780,10
Yuu☆Yuu☆Hakusho Picture Drama,2009-10-27,none,00:06:00,Finished Airing,Special,none,1,PG 13,"Comedy,Action",none,none,Pierrot,11114,11
