,Name,Duration,Status,Type,Episodes,Rating,Genres,Licensors,Producers,Studios,Members,Favorites,aired_start,aired_end,broadcast_day,broadcast_time,premiered_season,premiered_year
0,Kiku-chan to Ookami,00:45:00,Finished Airing,Special,1,PG,Adventure,none,none,Shin-Ei Animation,543,0,2008-08-13,none,none,none,none,none
1,Cornelis,00:04:00,Finished Airing,Movie,1,G,Comedy,none,none,none,492,0,2008-01-01,none,none,none,none,none
2,Joleobban,01:21:00,Finished Airing,Movie,1,R+,"Drama,Romance",none,none,Studio Dadashow,1638,1,Dec 29, 2016,none,none,none,none
3,Sugio: Mori de Koi wo Shite,00:04:00,Finished Airing,ONA,3,G,Comedy,none,none,DLE,497,0,Sep 27, 2015,none,none,none,none
4,Chirico,00:04:00,Finished Airing,Movie,1,PG 13,Avant Garde,none,none,none,743,0,2008-04-01,none,none,none,none,none
5,Teo the Magic Planet Pilot,00:09:00,Finished Airing,Special,1,G,"Adventure,Fantasy",none,none,none,242,0,1997-01-01,none,none,none,none,none
6,Momotarou Densetsu,00:22:00,Finished Airing,TV,51,G,"Comedy,Adventure",none,TV Tokyo,Knack Productions,664,1,1989-10-02,1990-10-01,mon,18:30:00,Fall,1989
7,Koko ni Iru,00:02:00,Finished Airing,ONA,1,G,Slice of Life,none,Mad Box,"add some,None found,",832,0,2010-01-01,none,none,none,none,none
8,Visual Prison,00:24:00,Finished Airing,TV,12,PG 13,Supernatural,none,"CMI,Aniplex,ABC Animation",A-1 Pictures,38571,464,2021-10-09,2021-12-25,sat,00:00:00,Fall,2021
9,Mahoutsukai Tai! (TV),00:24:00,Finished Airing,TV,13,PG 13,"Comedy,Sci-Fi,Romance,Fantasy","Media Blasters,Nozomi Entertainment,NYAV Post",Bandai Visual,"Triangle Staff,Madhouse",11201,24,1999-07-07,1999-10-06,wed,19:00:00,Summer,1999
10,Yu Bang Xiang Zheng,00:10:00,Finished Airing,Movie,1,G,none,none,Shanghai Animation Film Studio,none,878,1,1984-02-01,none,none,none,none,none
11,Hulaing Babies,00:05:00,Finished Airing,TV,12,PG 13,"Comedy,Slice of Life",none,none,Fukushima Gaina,3929,2,Jan 11, 2019 to Mar 29,fri,22:30:00,Winter,2019
12,Toho Cinemas & I Love Snoopy: The Peanuts Movie Collab Logo Eizou,28 sec.,Finished Airing,Movie,1,G,Comedy,none,Toho,none,406,1,Dec 1, 2014,none,none,none,none
13,Love Live! School Idol Project 2nd Season,00:23:00,Finished Airing,TV,13,PG 13,"Slice of Life,Award Winning","NIS America, Inc.","Lantis,Bushiroad,Bandai Visual",Sunrise,252422,2747,2014-04-06,2014-06-29,sun,22:30:00,Spring,2014
14,Kami no Tou,00:23:00,Finished Airing,TV,13,PG 13,"Mystery,Adventure,Fantasy,Action,Drama",VIZ Media,"Crunchyroll,Sola Entertainment,Rialto Entertainment,Naver Webtoons,IRMA LA DOUCE,Sega",Telecom Animation Film,874655,6222,2020-04-02,2020-06-25,thur,00:30:00,Spring,2020
