,Anime,Members
Saban Entertainment,2,19068
Warner Bros. Pictures,2,142750
NIS America,3,2066505
Sony Pictures Entertainment,1,368473
Marvel Entertainment,1,5911
bilibili,1,723
GKIDS,2,23328
Maiden Japan,3,78671
Crunchyroll,9,3726002
Sentai Filmworks,55,9352571
Geneon Entertainment USA,12,2667108
Eleven Arts,1,19994
AnimEigo,3,79295
 Inc.,3,2066505
NYAV Post,8,931839
ADK Emotions NY,3,49898
Urban Vision,1,14037
Aniplex of America,18,11581858
Nelvana,3,187060
VIZ Media,27,7611897
Flatiron Film Company,1,10128
Nozomi Entertainment,10,615642
Funimation,91,32984765
DiC Entertainment,1,367961
Hasbro,1,13317
ADV Films,26,1910415
Ponycan USA,4,447531
Bandai Entertainment,12,1125715
none,476,16970253
Media Blasters,10,954229
Manga Entertainment,5,84720
Discotek Media,28,2429993
Central Park Media,10,156057
