,Anime,Members
Dwango,2,112578
bilibili,11,1224247
Soeishinsha,1,19807
Mobcast,2,693627
Gakken,2,2324
Q-Tec,5,3381337
Hobibox,1,146952
Studio Shamrock,1,35962
Docomo Anime Store,6,1765025
Tokuma Japan,2,4781
Koei Tecmo Games,1,346138
Kinoshita Koumuten,1,32317
Exit Tunes,1,35962
DMM Music,1,430577
Toho,8,3395984
Hakuhodo DY Media Partners,3,1595557
Eswood,1,49996
Netflix,5,677323
Lawson,2,2642730
Liverpool,1,4352
Nagoya Broadcasting Network,4,54043
CoMix Wave Films,1,1155
Marvelous,8,1808723
Bandai Namco Games,1,318271
Cloud22,4,194234
Universal Entertainment,1,36607
Bandai Namco Filmworks,1,565550
Sega,4,185430
Imagine,6,402373
Tezuka Productions,5,36086
Sonilude,1,5742
Kansai Telecasting,4,4088388
Front Wing,1,321468
Marui Group,1,478794
Nitroplus,2,807111
Tamura Shigeru Studio,1,4960
Tochigi TV,1,14303
Network,1,16141
Legs,1,39257
Youku,2,2095
Kanetsu Investment,1,2004033
Group TAC,1,832
Asahi Broadcasting,3,821414
Exa International,1,145974
Sumitomo,2,310355
NichiNare,1,215953
Production I.G,9,563182
Barnum Studio,1,421793
TYO Animations,1,381991
Toei Advertising,2,483092
Mushi Production,3,4116
Houbunsha,4,1886235
Age Global Networks,2,949107
TBS,17,2064414
JR East Marketing & Communications,2,51073
C-one,1,2004033
Bushiroad,11,1439991
Sony Pictures Entertainment,3,47676
Bandai Namco Music Live,1,565550
GAGA,2,8201
Banpresto,2,171949
KlockWorx,16,3776432
Tokyo Movie Shinsha,5,7203
Sentai Filmworks,1,39804
Infinite,2,100516
Drecom,1,638697
 Inc.,2,11342
Pyramid,1,2599
Heewon Entertainment,2,18332
D.N. Dream Partners,1,180252
BMG Japan,1,14037
Nichion,6,961007
ADK Marketing Solutions,1,142300
TOHO animation,18,15728218
TMS Music,4,503711
Beijing Sharaku Art,1,2584
Triangle Staff,1,129532
YUKE'S,1,6846
Sony Interactive Entertainment,1,16066
Fields,6,2281569
Ranzai Studio,1,1387
pH Studio,1,25849
Asmik Ace,9,1714546
MediaNet,3,170493
Akita Shoten,7,1689013
Grooove,1,54123
Toy's Factory,5,1940851
Tencent Animation & Comics,4,98736
Bit Promotion,1,126623
W-Toon Studio,1,75229
Avex Pictures,7,5397313
DMM.com,2,185778
KLab,1,330359
feng,2,773105
AYCO,1,923
Geneon Universal Entertainment,10,2560460
Alibaba Pictures,1,3526
GANSIS,3,171154
Hal Film Maker,2,27077
Memory-Tech,1,30178
Fujipacific Music,5,2163847
Kadokawa Contents Gate,1,363802
Aeon Entertainment,2,508060
CA-Cygames Anime Fund,1,92994
SKY Perfect Well Think,2,78289
Egg Firm,1,70896
Ashi Productions,1,2189
Shogakukan,7,1889658
Hakusensha,10,3832391
Yomiko Advertising,5,143449
Samsung,1,2459
Hakuhodo DY Music & Pictures,3,797671
flying DOG,14,2553092
TV Asahi,10,1440220
Frontier Works,5,408090
CyberConnect2,3,115192
Tohan Corporation,1,108459
Hypergryph,1,90096
Jinnan Studio,1,2006267
Genco,6,1469178
Studio Hibari,2,3292336
Tencent Penguin Pictures,6,223399
Ishimori Pro,1,19355
Toranoana,1,656873
Kinoshita Group Holdings,1,638697
TV Asahi Music,1,172315
NetEase,2,182104
Studio PuYUKAI,1,611
Bandai Spirits,7,3157295
Trinity Sound,1,1372
Zack Promotion,1,131182
Cospa,2,986183
Kadokawa,13,3563767
Shochiku Music Publishing,1,691079
Yokohama Animation Lab,1,6778
TMS Entertainment,2,87280
Imagica,4,495062
Sotsu,18,1061847
Alchemist,1,16954
Studio Kelmadick,2,1868503
Nikkatsu,2,130484
T.O Entertainment,2,986183
Bandai,2,1231755
dugout,1,133833
DMM pictures,4,944555
Yamamura Animation,2,11342
Sony Music Communications,4,1897993
Omnibus Japan,1,2144
Fuji TV,20,9704009
Orange,1,19429
Meruhensha,1,961
Dentsu,38,27952356
Sanrio,13,408720
Studio Jack,1,22476
Tokyo MX,21,3060333
Bushiroad Music,2,409784
Gen'ei,1,22059
Kitty Films,1,11365
Arquebuse,1,409878
AC-Bu,1,2826
Front Line,1,498440
Bandai Namco Live Creative,1,25849
Animatic,3,966158
Ai Addiction,1,25849
Cygames,1,133833
Yostar,1,90096
Studio Tulip,1,87333
Buzz Wave,1,44756
Bungeishunjuu,1,7871
FuRyu,2,668896
ADK Emotions,1,5832
Toho Music,5,2505960
ZERO-A,1,896894
Kadokawa Media House,3,605704
Disney Platform Distribution,1,38499
Earth Star Entertainment,1,32512
Good Smile Film,1,670294
JM Animation,2,79594
Hobby Japan,2,30255
BS11,9,2660932
Yamasa,1,110373
Contents Seed,3,1205185
Alpha Group Co. Ltd.,1,985
Square Enix,5,846224
Bushiroad Move,1,321468
Bandai Visual,25,1071446
Happinet Media Marketing,1,133833
Ryukyu Asahi Broadcasting,1,196955
JY Animation,2,92947
Mag Garden,8,543844
Sun TV,2,51073
A-1 Pictures,1,2144
MediBang,1,33393
Sega Games,1,54123
BS Fuji,9,3585401
Tokyo FM Broadcasting,1,7871
BS Asahi,2,342580
VAP,9,2223275
Half H.P Studio,6,725232
Lantis,17,2803720
Graphinica,2,504012
Streamline Pictures,2,836702
Mainichi Broadcasting System,20,9399566
Shochiku,17,1824025
Muse Communication,1,124905
AG-ONE,1,381991
Liber Entertainment,1,33667
Magic Capsule,8,1218565
Shochiku Media Division,1,24565
Media Factory,12,2042967
NBCUniversal Entertainment Japan,9,1625563
BIGLOBE,2,422230
Nihon Ad Systems,9,2788226
Opera House,1,23026
Marvelous AQL,2,924071
Pony Canyon,27,4000708
Capcom,3,38435
Tencent Japan,1,133833
Toei Video,5,577760
chara-ani.com,1,215953
Tencent Games,1,2101
Shinano Kikaku,2,1119
entama,1,330359
Cosmic Ray,1,330487
Yahoo! Japan,4,672168
Enterbrain,1,363802
Sunrise Music,5,18745
ABC Animation,7,324637
Amuse,1,407779
Sammy,3,560251
CMC MEDIA,1,2312
HoriPro,1,88316
LIDENFILMS,2,360169
Avex Entertainment,4,695625
MAGES.,5,1179694
Nippon Columbia,6,116122
ZOOM ENTERPRISE,1,42421
Nelvana,2,110936
B.CMAY PICTURES,1,985
Studio Easter,1,110373
Bandai Namco Arts,3,870715
Sotsu Music Publishing,3,427671
Studio Montagne,1,90096
OLM,1,88316
Soft Garage,1,9791
Rakuonsha,6,2168001
Tatsunoko Production,1,1524
Rialto Entertainment,5,1018306
KDDI,1,33156
Kodansha,28,8567527
Kadokawa Shoten,9,3527663
Smiral Animation,1,15101
Shin-Ei Animation,2,308331
Sunny Side Up,1,101371
Crunchyroll,2,589265
Broccoli,1,13264
DandeLion Animation Studio,1,525
Warner Bros. Japan,11,2465595
Animax,6,388186
eBooK Initiative Japan,1,61844
Dynamic Planning,1,22042
TV Tokyo,41,6774343
F.M.F,2,47613
Overlap,3,772608
GREE Entertainment,1,131934
d-rights,8,461308
CyberAgent,1,583139
Happinet Pictures,2,1263078
BS NTV,2,539713
GYAO!,4,1911596
KSS,3,81217
ASCII Media Works,4,826124
King Records,13,2296434
North Stars Pictures,1,124905
Robot Communications,1,7782
Xuanshi Tangmen,1,708
ING,1,6623
Yumeta Company,1,5093
Evil Line Records,1,145974
Pioneer LDC,2,23809
Production Ace,1,14049
Youmex,1,22142
Telecom Animation Film,1,108908
Shenfan Animation,1,1952
AIC,7,595697
RAY,4,576815
Yomiuri Telecasting,9,8314384
Movic,40,18924004
Dentsu Tec,1,3061
Good Smile Company,13,1529177
Shueisha,40,26123919
Showgate,11,2556736
NHK,12,1603892
Geidai Animation,3,2027
Tamabi,2,5273
Hakuhodo,1,7871
Kadokawa Haruki Corporation,1,2459
Sakura Create,2,2742103
Shanghai Animation Film Studio,1,628
Imagineer,2,50247
Twin Engine,2,200438
Nippon Television Network,12,2354771
animate Film,1,10987
Bee Train,1,11836
Ultra Super Pictures,8,1289630
PRA,1,363802
HoriPro International,4,93223
Dream Creation,1,22059
Beyond C.,4,672168
DMM.futureworks,1,75229
Audio Tanaka,2,10070
DeNA,2,506593
DLE,3,348796
Victor Entertainment,2,4956
WOWOW,2,488438
Glovision,5,290163
Sankyo,1,6516
Emon,1,106898
Xebec,1,41379
TV Tokyo Music,5,2726014
Tohokushinsha Film Corporation,5,44473
Medicos Entertainment,1,158709
Felix Film,1,3226
Shogakukan-Shueisha Productions,7,326841
AT-X,25,4873893
HOTZIPANG,1,59085
ADK,2,432429
MAGNET,1,670294
Sony Music Entertainment,12,11541212
Gamegate,1,35962
Hoso Seisaku Doga,1,1456
Top-Insight International,1,819086
Namisokan,1,2459
Kyoraku Industrial Holdings,1,2004033
Visual Arts,3,566740
Japan Volleyball Association,1,108459
Bit grooove promotion,5,1201946
Fuji Creative,1,108459
Asatsu DK,3,337408
Kokusai Eigasha,1,1609
GDH,3,345550
Delfi Sound,5,1565593
Planet Cartoon,1,37220
Tokuma Shoten,3,16241
Yomiuri TV Enterprise,2,382752
5pb.,1,28758
Studio Mausu,7,731256
Pierrot,2,613541
Starchild Records,10,1185237
Yomiuri Advertising,3,434936
Aniplex,48,19364143
Kanon Sound,1,146952
Visual 80,1,1360
Artmic,1,3169
